Type,id,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--unidirectional,edges--transmission_edge--commodity,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--has_capacity,edges--transmission_edge--max_capacity,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxNewCapacityConstraint,edges--transmission_edge--can_retire,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_new_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--start_vertex,edges--transmission_edge--can_expand,edges--transmission_edge--end_vertex
TransmissionLink,Line153ExistingDC_Region30Ningxia_to_Region15Shandong,100,false,Electricity,0.062,100,true,4000,true,true,true,false,0.07,0,4000,28477.42582,elec_Region30Ningxia,false,elec_Region15Shandong
TransmissionLink,Line154ExistingDC_Region30Ningxia_to_Region11Zhejiang,100,false,Electricity,0.062,100,true,8000,true,true,true,false,0.065,0,8000,22844.3233,elec_Region30Ningxia,false,elec_Region11Zhejiang
TransmissionLink,Line155ExistingDC_Region28Gansu_to_Region18Hunan,100,false,Electricity,0.062,100,true,8000,true,true,true,false,0.065,0,8000,26792.25879,elec_Region28Gansu,false,elec_Region18Hunan
TransmissionLink,Line156ExistingDC_Region25Yunnan_to_Region19Guangdong,100,false,Electricity,0.062,100,true,6400,true,true,true,false,0.065,0,6400,16479.0677,elec_Region25Yunnan,false,elec_Region19Guangdong
TransmissionLink,Line157ExistingDC_Region5Innermongolia_to_Region15Shandong,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.065,0,10000,18461.69808,elec_Region5Innermongolia,false,elec_Region15Shandong
TransmissionLink,Line158ExistingDC_Region5Innermongolia_to_Region15Shandong,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.07,0,10000,18480.75297,elec_Region5Innermongolia,false,elec_Region15Shandong
TransmissionLink,Line159ExistingDC_Region5Innermongolia_to_Region10Jiangsu,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.07,0,10000,20357.65986,elec_Region5Innermongolia,false,elec_Region10Jiangsu
TransmissionLink,Line160ExistingDC_Region4Shanxi_to_Region10Jiangsu,100,false,Electricity,0.062,100,true,8000,true,true,true,false,0.07,0,8000,19265.57635,elec_Region4Shanxi,false,elec_Region10Jiangsu
TransmissionLink,Line161ExistingDC_Region31Xinjiang_to_Region12Anhui,100,false,Electricity,0.062,100,true,12000,true,true,true,false,0.07,0,12000,36586.89911,elec_Region31Xinjiang,false,elec_Region12Anhui
TransmissionLink,Line162ExistingDC_Region22Chongqing_to_Region17Hubei,100,false,Electricity,0.062,100,true,2600,true,true,true,false,0.007,0,2600,11880.18955,elec_Region22Chongqing,false,elec_Region17Hubei
TransmissionLink,Line163ExistingDC_Region25Yunnan_to_Region19Guangdong,100,false,Electricity,0.062,100,true,5000,true,true,true,false,0.0657,0,5000,27284.11319,elec_Region25Yunnan,false,elec_Region19Guangdong
TransmissionLink,Line164ExistingDC_Region25Yunnan_to_Region19Guangdong,100,false,Electricity,0.062,100,true,5000,true,true,true,false,0.0657,0,5000,31266.58568,elec_Region25Yunnan,false,elec_Region19Guangdong
TransmissionLink,Line165ExistingDC_Region24Guizhou_to_Region19Guangdong,100,false,Electricity,0.062,100,true,1800,true,true,true,false,0.0563,0,1800,24428.15445,elec_Region24Guizhou,false,elec_Region19Guangdong
TransmissionLink,Line166ExistingDC_Region24Guizhou_to_Region19Guangdong,100,false,Electricity,0.062,100,true,6000,true,true,true,false,0.0705,0,6000,15864.1684,elec_Region24Guizhou,false,elec_Region19Guangdong
TransmissionLink,Line167ExistingDC_Region25Yunnan_to_Region19Guangdong,100,false,Electricity,0.062,100,true,5000,true,true,true,false,0.0657,0,5000,25683.50225,elec_Region25Yunnan,false,elec_Region19Guangdong
