Province,Region,Period,Year,WeightSource,ScrapMid_Mton_per_year,Weight_ScrapShareInput,WeightShare,MaxSupply_ton_per_h,ImpliedTotal_288h_tons
Zhejiang,Region11Zhejiang,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,1.32423125,0.05561240996559888,224.35072163826086,64613.00783181913
TOTAL,,4,2040,aluminum_scrap_share_weights.csv,35.33945611720265,23.811794001,1.0,4034.184488265143,1161845.1326203612
Beijing,Region1Beijing,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.02864176,0.0012028392316344228,4.9603544096126395,1428.5820699684402
Tianjin,Region2Tianjin,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.055062619,0.0023124095142805115,9.536079659960517,2746.390942068629
Anhui,Region12Anhui,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,1.417408174,0.059525467671208414,245.47537882175885,70696.90910066655
Shanghai,Region9Shanghai,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.039821138,0.001672328342766936,6.896467168012491,1986.1825443875975
Chongqing,Region22Chongqing,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.651578201,0.02736367536913163,112.84428060767986,32499.1528150118
Fujian,Region13Fujian,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.970585629,0.04076070996411439,168.09192957125566,48410.47571652163
Gansu,Region28Gansu,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.471244322,0.01979037455053616,81.61296130676394,23504.532856348014
Guangdong,Region19Guangdong,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,1.714234545,0.07199098669037743,296.88157726344565,85501.89425187235
Guangxi,Region20Guangxi,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,1.2117178,0.05088729559600225,209.85266730941558,60437.56818511169
Guizhou,Region24Guizhou,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,1.08119526,0.04540587155905155,187.24797902060786,53927.41795793506
Hainan,Region21Hainan,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.183679462,0.007713801908091687,31.810727737645216,9161.489588441822
Hebei,Region3Hebei,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,1.184679495,0.04975179505375564,205.17000900087584,59088.96259225224
Heilongjiang,Region8Heilongjiang,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.24072257,0.01010938403002691,41.68980054273157,12006.662556306692
Henan,Region16Henan,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,1.175605239,0.0493707126372179,203.59847408948932,58636.360537772925
Hubei,Region17Hubei,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.98158572,0.04122266973915436,169.99699231523473,48959.13378678761
Hunan,Region18Hunan,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,1.103137521,0.04632735865906083,191.0480733970785,55021.84513835861
InnerMongolia,Region5Innermongolia,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.360645336,0.015145660002973918,62.45875542333404,17988.121561920205
Jiangsu,Region10Jiangsu,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,1.525384735,0.06406005086957917,264.1754171745402,76082.52014626758
Jiangxi,Region14Jiangxi,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,1.001981322,0.042079203354351245,173.52922686776938,49976.417337917585
Jilin,Region7Jilin,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.223045524,0.009367018881090311,38.628382072811235,11124.974036969636
Liaoning,Region6Liaoning,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.543993633,0.022845554307128414,94.21212998966371,27133.093437023148
Ningxia,Region30Ningxia,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.197772756,0.008305663823216946,34.251490213096005,9864.42918137165
Qinghai,Region29Qinghai,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.122457143,0.005142709658703468,21.207873722446372,6107.867632064555
Shaanxi,Region27Shaanxi,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.680239034,0.028567315590393258,117.80793819557674,33928.6862003261
Shandong,Region15Shandong,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,1.595272753,0.06699506777746377,276.2790497119746,79568.36631704868
Shanxi,Region4Shanxi,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.561042515,0.023561539083381895,97.16475919288534,27983.450647550977
Sichuan,Region23Sichuan,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,1.450296251,0.06090663521358757,251.17113626720317,72337.28724495451
Tibet,Region26Tibet,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.0,0.0,0.0,0.0
Xinjiang,Region31Xinjiang,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,0.402716599,0.0169124845857094,69.74491294088965,20086.53492697622
Yunnan,Region25Yunnan,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,1.311815695,0.05509100637041077,227.18823030750622,65430.21032856179
Zhejiang,Region11Zhejiang,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,1.32423125,0.05561240996559888,229.3384317264148,66049.46833720747
TOTAL,,5,2045,aluminum_scrap_share_weights.csv,36.12511421760247,23.811794001,1.0,4123.87148602768,1187674.9879759718
Beijing,Region1Beijing,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,0.02864176,0.0012028392316344228,5.011286834328719,1443.2506082866712
Tianjin,Region2Tianjin,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,0.055062619,0.0023124095142805115,9.63399517551849,2774.590610549325
Anhui,Region12Anhui,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,1.417408174,0.059525467671208414,247.9958955467859,71422.81791747434
Shanghai,Region9Shanghai,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,0.039821138,0.001672328342766936,6.967279405573787,2006.576468805251
Chongqing,Region22Chongqing,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,0.651578201,0.02736367536913163,114.002954434605,32832.85087716624
Fujian,Region13Fujian,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,0.970585629,0.04076070996411439,169.81788075161438,48907.549656464944
Gansu,Region28Gansu,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,0.471244322,0.01979037455053616,82.45095505970178,23745.875057194113
Guangdong,Region19Guangdong,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,1.714234545,0.07199098669037743,299.9299277107965,86379.8191807094
Guangxi,Region20Guangxi,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,1.2117178,0.05088729559600225,212.007413582886,61058.13511187116
Guizhou,Region24Guizhou,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,1.08119526,0.04540587155905155,189.17062260757083,54481.1393109804
Hainan,Region21Hainan,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,0.183679462,0.007713801908091687,32.13735711971549,9255.55885047806
Hebei,Region3Hebei,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,1.184679495,0.04975179505375564,207.27667420552007,59695.68217118978
Heilongjiang,Region8Heilongjiang,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,0.24072257,0.01010938403002691,42.11786725979037,12129.945770819628
Henan,Region16Henan,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,1.175605239,0.0493707126372179,205.6890029302867,59238.43284392257
Hubei,Region17Hubei,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,0.98158572,0.04122266973915436,171.74250448998515,49461.84129311572
Hunan,Region18Hunan,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,1.103137521,0.04632735865906083,193.00973597437175,55586.803960619065
InnerMongolia,Region5Innermongolia,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,0.360645336,0.015145660002973918,63.10007569921881,18172.82180137502
Jiangsu,Region10Jiangsu,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,1.525384735,0.06406005086957917,266.88794402967915,76863.7278805476
Jiangxi,Region14Jiangxi,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,1.001981322,0.042079203354351245,175.31100767487354,50489.57021036358
Jilin,Region7Jilin,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,0.223045524,0.009367018881090311,39.02501445012983,11239.204161637392
Liaoning,Region6Liaoning,6,2050,aluminum_scrap_share_weights.csv,36.49604329006597,0.543993633,0.022845554307128414,95.17949075097165,27411.693336279837
