ID,Cata,源,汇,NEWID,NO,Status,SY,YR,CA（MW）,UH（h）,SP（g/kWh）,CE（Mt/年）,TCE（Mt）,lat1,lng1,源lat,源lng,汇lat,汇lng,UT,是否热电联产,距离,最近埋存点,埋存点性质,总碳封存额（Mt）
5734,煤源,Y5734,,CSP5734,1,07 Pre-permit,2022,,660,5260,302.7,2.942389296,82.38690029,42.754903,93.483749,42.754903,93.483749,,,超临界,热电联产,146.8680138,CCS092,陆地埋存,42.66
5735,煤源,Y5735,,CSP5735,1,07 Pre-permit,2026,,1000,4234,285.7,3.38703064,108.3849805,38.042482,109.418733,38.042482,109.418733,,,超超临界,常规煤电,49.35772481,CCS003,陆地埋存,256500
5736,煤源,Y5736,,CSP5736,1,07 Pre-permit,2026,,1000,4234,285.7,3.38703064,108.3849805,38.232787,109.734708,38.232787,109.734708,,,超超临界,常规煤电,82.89796601,CCS003,陆地埋存,256500
5737,煤源,Y5737,,CSP5737,1,07 Pre-permit,2025,,660,4234,290,2.26908528,70.34164368,38.13340114,109.1727963,38.13340114,109.1727963,,,超超临界,常规煤电,35.55049173,CCS003,陆地埋存,256500
5738,煤源,Y5738,,CSP5738,1,07 Pre-permit,2025,,660,4234,290,2.26908528,70.34164368,38.13340114,109.1727963,38.13340114,109.1727963,,,超超临界,常规煤电,35.55049173,CCS003,陆地埋存,256500
5739,煤源,Y5739,,CSP5739,1,07 Pre-permit,2024,,660,3883,310.71,2.229587847,66.8876354,25.47128,104.599083,25.47128,104.599083,,,超临界,常规煤电,539.3273828,CCS057,陆地埋存,20
5740,煤源,Y5740,,CSP5740,1,07 Pre-permit,2024,,660,3883,314.49,2.25671231,67.7013693,25.47128,104.599083,25.47128,104.599083,,,超临界,常规煤电,539.3273828,CCS057,陆地埋存,20
5741,煤源,Y5741,,CSP5741,1,07 Pre-permit,2026,,1000,4550,333.65,4.250701,136.022432,38.949575,102.473117,38.949575,102.473117,,,超超临界,热电联产,338.7199033,CCS041,陆地埋存,120
5742,煤源,Y5742,,CSP5742,1,07 Pre-permit,2026,,1000,4550,333.65,4.250701,136.022432,38.949575,102.473117,38.949575,102.473117,,,超超临界,热电联产,338.7199033,CCS041,陆地埋存,120
5743,煤源,Y5743,,CSP5743,1,07 Pre-permit,2025,,660,3883,318.89,2.28828576,70.93685855,27.499568,106.460974,27.499568,106.460974,,,超临界,常规煤电,257.8100507,CCS057,陆地埋存,20
5744,煤源,Y5744,,CSP5744,1,07 Pre-permit,2025,,1000,4403,285,3.513594,108.921414,39.947261,113.104985,39.947261,113.104985,,,超超临界,常规煤电,267.3212655,CCS071,陆地埋存,0.3
5745,煤源,Y5745,,CSP5745,1,07 Pre-permit,2025,,1000,4403,285,3.513594,108.921414,39.947261,113.104985,39.947261,113.104985,,,超超临界,常规煤电,267.3212655,CCS071,陆地埋存,0.3
5746,煤源,Y5746,,CSP5746,1,07 Pre-permit,2026,,1000,4377,285,3.492846,111.771072,35.92404,116.540564,35.92404,116.540564,,,超超临界,热电联产,120.0011941,CCS082,陆地埋存,30.4
5747,煤源,Y5747,,CSP5747,1,07 Pre-permit,2026,,1000,4377,285,3.492846,111.771072,35.92404,116.540564,35.92404,116.540564,,,超超临界,热电联产,120.0011941,CCS082,陆地埋存,30.4
